,0,abs_coef
PAY_AMT3,-2.153490323079632,2.153490323079632
EDUCATION_4,-0.8526106772180903,0.8526106772180903
MARRIAGE_0,-0.6893258788397614,0.6893258788397614
BILL_AMT4,0.6207076616978894,0.6207076616978894
PAY_1,0.5351774162634252,0.5351774162634252
PAY_AMT5,-0.40786103556302816,0.40786103556302816
PAY_AMT6,-0.3486214740502726,0.3486214740502726
BILL_AMT6,-0.27467980507708867,0.27467980507708867
PAY_AMT1,-0.2647313789685171,0.2647313789685171
percent_credit_utilised1,-0.2636036678000436,0.2636036678000436
SEX_2,-0.2571562463569608,0.2571562463569608
BILL_AMT3,0.20742565516269082,0.20742565516269082
percent_credit_utilised6,-0.2073629741821785,0.2073629741821785
std_dev_bill,-0.19723000842873195,0.19723000842873195
percent_credit_utilised5,-0.1917802359491697,0.1917802359491697
EDUCATION_1,0.191090892994866,0.191090892994866
MARRIAGE_3,0.1659458396444435,0.1659458396444435
MARRIAGE_1,0.16481583208430942,0.16481583208430942
EDUCATION_3,0.16451051266601993,0.16451051266601993
LIMIT_BAL,-0.16320184350299713,0.16320184350299713
percent_credit_utilised4,0.15735557116726762,0.15735557116726762
percent_credit_utilised3,0.15025775814735962,0.15025775814735962
EDUCATION_2,0.13215905591861382,0.13215905591861382
PAY_3,0.11774661974489341,0.11774661974489341
PAY_2,0.11719572115684047,0.11719572115684047
SEX_1,-0.10769396928158212,0.10769396928158212
PAY_5,0.10725302795867692,0.10725302795867692
percent_paid4,0.10273167768335596,0.10273167768335596
BILL_AMT1,-0.09965206403749352,0.09965206403749352
PAY_6,0.08393575630393213,0.08393575630393213
AGE,0.06596933188591812,0.06596933188591812
percent_credit_utilised2,-0.057304017780605294,0.057304017780605294
PAY_AMT4,0.05502980479521089,0.05502980479521089
BILL_AMT2,0.05058064784515818,0.05058064784515818
PAY_AMT2,0.04327550681879336,0.04327550681879336
PAY_4,0.041950535367055765,0.041950535367055765
percent_paid5,0.040641477459871976,0.040641477459871976
std_dev_pay,-0.032301731621917455,0.032301731621917455
percent_paid3,-0.02783032769357304,0.02783032769357304
percent_paid2,-0.027094011657001517,0.027094011657001517
percent_paid1,-0.014940812037139378,0.014940812037139378
MARRIAGE_2,-0.006286008527529111,0.006286008527529111
BILL_AMT5,-0.0015385974362733497,0.0015385974362733497
